Value,Format,Metric,Year
,Other Tapes,Units,1983
,Music Video (Physical),Units,1983
,DVD Audio,Units,1983
,SACD,Units,1983
,Download Single,Units,1983
,Download Album,Units,1983
,Kiosk,Units,1983
,Download Music Video,Units,1983
,Ringtones & Ringbacks,Units,1983
,,Units,1983
,Paid Subscriptions,Units,1983
17.2,CD,Value,1983
,CD Single,Value,1983
1810.9,Cassette,Value,1983
,Cassette Single,Value,1983
1689,LP/EP,Value,1983
269.3,Vinyl Single,Value,1983
,8 - Track,Value,1983
,Other Tapes,Value,1983
,Music Video (Physical),Value,1983
,DVD Audio,Value,1983
,SACD,Value,1983
,Download Single,Value,1983
,Download Album,Value,1983
,Kiosk,Value,1983
,Download Music Video,Value,1983
,Ringtones & Ringbacks,Value,1983
,Other Digital,Value,1983
,Paid Subscription,Value,1983
,Limited Tier Paid Subscription,Value,1983
,SoundExchange Distributions,Value,1983
,On-Demand Streaming (Ad-Supported),Value,1983
,Other Ad-Supported Streaming,Value,1983
,Synchronization,Value,1983
42.32995984,CD,Value (Adjusted),1983
,CD Single,Value (Adjusted),1983
4456.7049,Cassette,Value (Adjusted),1983
,Cassette Single,Value (Adjusted),1983
4156.703614,LP/EP,Value (Adjusted),1983
662.7591968,Vinyl Single,Value (Adjusted),1983
,8 - Track,Value (Adjusted),1983
,Other Tapes,Value (Adjusted),1983
,Music Video (Physical),Value (Adjusted),1983
,DVD Audio,Value (Adjusted),1983
,SACD,Value (Adjusted),1983
,Download Single,Value (Adjusted),1983
,Download Album,Value (Adjusted),1983
,Kiosk,Value (Adjusted),1983
,Download Music Video,Value (Adjusted),1983
,Ringtones & Ringbacks,Value (Adjusted),1983
,Other Digital,Value (Adjusted),1983
,Paid Subscription,Value (Adjusted),1983
,Limited Tier Paid Subscription,Value (Adjusted),1983
,SoundExchange Distributions,Value (Adjusted),1983
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1983
,Other Ad-Supported Streaming,Value (Adjusted),1983
,Synchronization,Value (Adjusted),1983
5.8,CD,Units,1984
,CD Single,Units,1984
332,Cassette,Units,1984
,Cassette Single,Units,1984
204.6,LP/EP,Units,1984
131.5,Vinyl Single,Units,1984
,8 - Track,Units,1984
,Other Tapes,Units,1984
,Music Video (Physical),Units,1984
,DVD Audio,Units,1984
,SACD,Units,1984
,Download Single,Units,1984
,Download Album,Units,1984
,Kiosk,Units,1984
,Download Music Video,Units,1984
,Ringtones & Ringbacks,Units,1984
,,Units,1984
,Paid Subscriptions,Units,1984
103.3,CD,Value,1984
,CD Single,Value,1984
2383.9,Cassette,Value,1984
,Cassette Single,Value,1984
1548.8,LP/EP,Value,1984
298.7,Vinyl Single,Value,1984
,8 - Track,Value,1984
,Other Tapes,Value,1984
,Music Video (Physical),Value,1984
,DVD Audio,Value,1984
,SACD,Value,1984
,Download Single,Value,1984
,Download Album,Value,1984
,Kiosk,Value,1984
,Download Music Video,Value,1984
,Ringtones & Ringbacks,Value,1984
,Other Digital,Value,1984
,Paid Subscription,Value,1984
,Limited Tier Paid Subscription,Value,1984
,SoundExchange Distributions,Value,1984
